Sweedish,English
högre,higher
historien,history
kräver,requires
lista,list
vanliga,usual
knulla,fuck
tråkigt,Boring
slappna,Relax
bodde,lived
avsluta,end
jämt,evenly
kraft,force
följde,followed
morgonen,The morning
ordet,the word
framtid,future
platsen,the place
gravid,pregnant
förstör,destroy
varann,each other
skäl,reason
pistolen,The gun
varmt,hot
förstod,understood
tjäna,serve
poäng,point
vin,wine
vit,White
chris,Chris
fånga,catch
förstås,of course
nyckeln,The key
fatta,take
missade,Missed
endast,only
skämtar,joking
ät,Eat
överraskning,surprise
väljer,Selects
besök,visit
nåd,Grace
blå,blue
luften,the air
antingen,either
röda,Red
skapa,create
lik,like
upprörd,upset
djupt,deep
hjälte,hero
steve,Steve
makt,Power
ära,honor
bjuder,Offers
lova,promise
te,tea
frukost,breakfast
beredd,prepared
ljuset,The light
grupp,group
flyttar,Moves
hamnar,ports
martin,Martin
hälften,half
ålder,age
starta,start
lyckas,succeed
band,band
båt,Boat
gamle,Old
överleva,survive
bröt,broke
normalt,normally
flyger,flying
papper,paper
taget,taken
nöjd,satisfied
wow,Wow
golvet,the floor
springa,run
ungar,kids
ihjäl,to death
ljuga,lie
tolv,Twelve
stänga,close
innebär,means
bordet,The table
sprang,ran
laga,prepare
ansvar,responsibility
rent,purely
planer,plans
per,per
hejsan,Hello
viktig,important
sjunga,sing
använd,used
helvetet,Hell
hjärna,brain
leda,lead
skriv,write
ärlig,honest
minnas,Remember
faller,falling
kontoret,the office
farväl,farewell
skrivit,written
sekund,second
amerika,America
oavsett,regardless
jävligt,Damn
flyttade,Moved
farfar,grandfather
målet,the goal
insåg,realized
tjänar,earns
gömma,hide
thomas,Thomas
skiter,Shit
smärta,pain
ordning,order
hunden,the dog
bry,Care
kate,Kate
fönstret,The window
möta,meet
föddes,was born
mormor,grandmother
tappade,dropped
sjukhus,hospital
mej,Me
lagen,the law
kungen,The king
team,team
damen,Lady
mördaren,the killer
sköta,manage
will,will
sköter,Manages
titt,look
lagt,laid
snällt,kindly
spännande,exciting
köket,The kitchen
amerikanska,American
lille,Little
kallt,cool
backa,Reverse
galna,Crazy
människorna,The people
dam,Lady
gratis,free
betalt,Paid
öde,Fate
bryta,break
ryan,Ryan
löjtnant,lieutenant
häst,HORSE
skillnad,difference
känsla,feeling
förklarar,explaining
aj,Ouch
broder,Brother
guld,gold
häftigt,cool
ske,happen
soldater,troops
styrka,strength
kämpa,fight
springer,runs
t,t
tanken,thought
hemsk,horrible
charles,Charles
scott,Scott
pris,Award
härligt,Great
regler,rules
skor,shoes
åren,the years
daniel,Daniel
öppen,open
claire,Claire
framme,in front
samtidigt,at the same time
ätit,eaten
speciell,special
översättning,translation
träffades,met
bilden,The picture
kusin,cousin
ärligt,honestly
delen,part
maria,Mary
sergeant,sergeant
suger,Sucks
monster,monster
sådant,such
orsak,cause
definitivt,definitely
slag,kind
eddie,Eddie
college,college
ledare,leader
vägrar,refuses
gränsen,the limit
alan,Alan
lärare,teacher
walter,Walter
kändes,felt
exempel,example
drömmar,Dreams
fängelset,the prison
rik,Rich
hål,hole
knappast,hardly
karl,Charles
företag,business
dyker,Dives
jäkla,damn
mördade,murdered
hänga,hang
anna,Anna
kört,run
rolig,funny
droger,Drugs
fungera,work
hundra,hundred
lättare,lighter
kollade,Checked
tillbaks,Back
stycken,Pieces
gäng,gang
major,major
pappas,Daddy
lee,Lee
sysslar,engages
herrn,sir
sötnos,sweetheart
ifred,peacefully
gömmer,Hiding
skjuten,Shooted
bröder,brothers
evigt,forever
ön,Island
svaret,The answer
diskutera,discuss
presentera,present
letade,searched
washington,Washington
snabbare,Faster
tänder,teeth
ted,Ted
skitstövel,Shit
ensamma,lonely
frisk,healthy
färdig,finished
hotellet,The hotel
fann,found
form,form
vända,turn
ordentligt,proper
tåget,The train
gumman,old man
matchen,The match
männen,The men
svin,swine
dök,dived
galet,Crazy
armén,The army
dej,DA
kyle,Kyle
köpt,purchased
of,of
bestämt,Certainly
san,San.
bröllop,wedding
stjäla,steal
bak,rear
förhållande,relationship
antagligen,Probably
taket,The roof
angående,concerning
sheriffen,The sheriff
hotell,Hotel
hoppades,hoped
reglerna,the rules
varm,hot
robert,Robert
adam,Adam
minne,memory
ena,one
viktiga,Important
bilar,cars
street,Street
spelet,the game
regeringen,The government
jagar,hunting
väggen,The wall
jane,Jane
taxi,taxi
munnen,the mouth
jaga,hunt
stranden,the beach
självmord,suicide
återvända,return
oskyldig,innocent
mammas,Mom's
dator,computer
vanlig,common
skott,shot
kött,meat
england,England
driver,Driver
hamnade,ended up
fisk,fish
gifte,Married
drick,Drink
koppla,connect
senast,last
medicin,medicine
chuck,chuck
sakta,slowly
gåva,Gift
mordet,The murder
arthur,Arthur
hot,threat
mun,mouth
pete,Pete
böcker,books
amy,Amy
kyss,kiss
försvinna,disappear
kevin,Kevin
reser,traveling
bett,bite
halsen,throat
vems,whose
tokig,crazy
kontrollera,verify
träd,tree
poliser,Police
noga,Carefully
kameran,the camera
slipper,Slips
skrattar,Laughing
väskan,The bag
liknar,Similar to it
föredrar,prefer
tryck,print
soldat,soldier
matt,Matt
sådana,such
levde,Lived
klä,dress
skratta,laugh
krafter,forces
förändras,change
hustru,wife
lagar,Laws
hora,whore
omedelbart,immediately
inblandad,involved
fria,free
föra,bring
allihopa,All
strid,battle
liknande,similar
skrämmer,scaring
lov,permission
sålde,Sold
helgen,weekend
floden,the river
farlig,dangerous
text,text
brian,Brian
sparken,fired
benen,The legs
jerry,Jerry
desto,Desto
betalade,paid
konstig,weird
halva,half
skola,school
stannade,stopped
ägg,egg
city,City
klass,class
rom,Gypsy
bryter,Breaking
åkt,Ride
hjärnan,the brain
affär,business
syns,visible
sanning,truth
struntar,ignore
når,reaches
minsta,minimum
procent,percent
förstörde,destroyed
skydd,protection
tusan,Thus
rachel,Rachel
alice,Alice
vaken,awake
hoppar,Jumps
ifall,If
tvinga,force
luft,air
sådär,That's how
le,smile
listan,The list
lura,fool
förslag,suggestions
byggnaden,the building
skyddar,protects
hemska,horrible
d,d
km,km
affären,the store
översatt,Translated
carter,Carter
an,an
bråttom,in a hurry
loss,loose
område,area
skallen,the skull
fars,Father
miljon,million
håret,The hair
närmar,approaching
jason,Jason
match,match
tidningen,the newspaper
tjena,Hey
väska,bag
frihet,freedom
present,gift
fångar,prisoners
don,Don
växte,grew
söka,search
da,da
umgås,socialize
situationen,the situation
dejt,date
position,position
banken,the bank
bjöd,offered
personen,the person
bandet,the band
anser,considers
chloe,Chloe
tappat,dropped
glada,happy
förflutna,past
red,ed
karriär,career
tycka,think
onda,Evil
andy,Andy
bussen,The bus
mil,mile
uppmärksamhet,attention
laget,The team
kuk,cock
toaletten,the toilet
fira,celebrate
fot,Foot
hemligheter,Secrets
rätten,the right
äktenskap,marriage
priset,The price
sara,Sara
privat,private
stationen,The station
gråta,cry
situation,situation
slutat,quit
bord,table
mötet,The meeting
hantera,manage
högsta,highest
nytta,benefit
samman,Together
röd,RED
föreslår,proposes
dörr,door
ljud,sound
skär,notch
erkänna,admit
grejen,the thing
coolt,Cool
vaknar,Wake up
spåra,track
testa,test
vetat,Know
emily,Emily
fötter,feet
koll,Koll
dave,Dave
resan,The trip
william,William
besviken,disappointed
hindra,hinder
semester,vacation
överlever,survives
skrämde,scared
begär,desire
stänger,Closes
sker,happens
saknas,Missing
sakna,miss
starkare,stronger
big,Big
skickat,Sent
tvätta,wash
sten,Stone
nycklarna,The keys
skuld,debt
bestämma,determine
samla,collect
blodet,the blood
oroar,worrier
frankrike,France
ansvarig,responsible
födelsedag,birthday
faktum,fact
kastar,throws
räknar,counts
kontakta,contact
snabba,Fast
tuff,tough
leo,Leo
lustigt,funny
japp,Yep
gibbs,Gibbs
heliga,Holy
nyligen,recently
sjunger,sings
plocka,pick
tusentals,thousands of
tillfälle,opportunity
ed,oath
långa,Long
hundar,Dogs
abby,Abby
middagen,dinner
alltihop,Everything
lek,play
gifter,toxins
förändrats,changed
ungarna,The kids
nöje,pleasure
snabb,fast
is,ice
påminner,reminds
simon,Simon
duger,good enough
bröst,breast
bollen,The ball
hoppade,jumped
läs,read
starka,Strong
lisa,Lisa
lyckliga,Happy
löjligt,ridiculously
via,via
mästare,Master
växer,Grows
eh,eh
hållet,held
fiender,enemies
möter,Meeting
missar,Misses
rädsla,fear
drack,drank
orkar,can
lögn,lie
återvänder,returns
nyheterna,News
dagarna,The days
joey,Joey
platser,places
uppdraget,The assignment
skapade,created
mörkt,Dark
emma,Emma
smaka,taste
nämnde,mentioned
letat,Looked
års,year
blommor,Flowers
baren,The bar
samtalet,the conversation
eftermiddag,afternoon
viktigaste,Most important
arm,arm
lord,Lord
numret,The number
ringen,The ring
vis,way
sakerna,Things
professor,professor
armé,Army
dödad,killed
undrade,wondered
släppte,released
dansar,dancing
minnen,Memories
idioter,Idiots
hållit,held
eric,Eric
mera,more
adress,address
mobil,mobile
luke,Luke
mörkret,the darkness
stil,style
våld,violence
undvika,avoid
franska,French
jobbigt,hard
käft,jaw
and,duck
skadade,damaged
rose,Rose
löser,Solves
förvånad,Surprised
kärleken,the love
carl,Carl
planeten,the planet
leker,Playing
energi,energy
stoppar,Stopping
plus,plus
flög,Flew
vapnen,The weapons
systemet,the system
flickorna,The girls
rika,rich
bög,gay
känd,known
spara,save
vinden,the wind
lås,lock
saknat,missed
hård,hard
sâ,sâ
vänder,turns
svår,difficult
pass,Pass
oliver,Oliver
tysta,Silent
fienden,the enemy
magi,magic
grabb,Guy
lurade,cheated
smakar,Tastes
kastade,tossed
kopp,cup
acceptera,accept
gråter,cries
förbannade,cursed
larry,Larry
städa,clean
avtal,agreement
stöd,support
stig,path
tycks,seems
sjuka,Sick
svarade,replied
fortare,faster
öppet,open
försvara,defend
röka,smoke
personligt,Personal
slippa,avoid
fredag,Friday
tjejerna,The girls
givetvis,of course
hamna,end up
b,b
skriker,screams
skapar,creates
annanstans,elsewhere
råkar,happens to
föreställa,imagine
morgan,Morgan
rosa,pink
musiken,The music
möjlighet,ability
phil,Phil
styr,control
dagens,Today's
nått,reached
förlåta,forgive
rapport,report
kilometer,kilometer
efteråt,afterwards
still,still
ställde,Pared
system,system
vilse,astray
vaknade,Woke up
arbetet,the work
al,al
katt,Cat
ändrar,changes
färg,color
troligen,probably
majestät,Majesty
missa,miss
avskyr,Disresent
jäklar,Damn
hejdå,bye
fundera,think
drottning,Queen
fulla,full
lördag,Saturday
våran,Spring
svag,weak
misstänkt,suspected
lex,Lex
påstår,claims
kläderna,The clothes
packa,pack
mod,Courage
bygger,builds
operation,Operation
född,born
fälla,trap
språk,language
förväntar,Expect
mörda,murder
sheriff,sheriff
robin,Robin
idéer,Ideas
hemliga,Secret
normal,normal
mening,sentence
kompisar,Friends
klubben,The club
magen,The stomach
sökte,searched
farmor,grandmother
domare,Judge
låst,locked
kyssa,kiss
bitti,Bitti
for,For
hemligt,Secret
inse,realize
bröllopet,The wedding
märkligt,Strange
godnatt,good night
herren,The Lord
los,los
